make,model,release_date,transmission_type,size,style,price,isDeleted
BMW,1 Series M,2011,MANUAL,Compact,Coupe,46135,FALSE
BMW,1 Series,2011,MANUAL,Compact,Convertible,40650,FALSE
BMW,1 Series,2011,MANUAL,Compact,Coupe,36350,FALSE
BMW,1 Series,2011,MANUAL,Compact,Coupe,29450,FALSE
BMW,1 Series,2011,MANUAL,Compact,Convertible,34500,FALSE
BMW,1 Series,2012,MANUAL,Compact,Coupe,31200,FALSE
BMW,1 Series,2012,MANUAL,Compact,Convertible,44100,FALSE
BMW,1 Series,2012,MANUAL,Compact,Coupe,39300,FALSE
BMW,1 Series,2012,MANUAL,Compact,Convertible,36900,FALSE
BMW,1 Series,2013,MANUAL,Compact,Convertible,37200,FALSE
BMW,1 Series,2013,MANUAL,Compact,Coupe,39600,FALSE
BMW,1 Series,2013,MANUAL,Compact,Coupe,31500,FALSE
BMW,1 Series,2013,MANUAL,Compact,Convertible,44400,FALSE
BMW,1 Series,2013,MANUAL,Compact,Convertible,37200,FALSE
BMW,1 Series,2013,MANUAL,Compact,Coupe,31500,FALSE
BMW,1 Series,2013,MANUAL,Compact,Convertible,48250,FALSE
BMW,1 Series,2013,MANUAL,Compact,Coupe,43550,FALSE
Audi,100,1992,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1992,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1992,AUTOMATIC,Midsize,Wagon,2000,FALSE
Audi,100,1992,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1992,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1993,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1993,AUTOMATIC,Midsize,Wagon,2000,FALSE
Audi,100,1993,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1993,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1993,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1994,AUTOMATIC,Midsize,Wagon,2000,FALSE
Audi,100,1994,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1994,MANUAL,Midsize,Sedan,2000,FALSE
Audi,100,1994,AUTOMATIC,Midsize,Sedan,2000,FALSE
Audi,100,1994,AUTOMATIC,Midsize,Wagon,2000,FALSE
FIAT,124 Spider,2017,MANUAL,Compact,Convertible,27495,FALSE
FIAT,124 Spider,2017,MANUAL,Compact,Convertible,24995,FALSE
FIAT,124 Spider,2017,MANUAL,Compact,Convertible,28195,FALSE
Mercedes-Benz,190-Class,1991,MANUAL,Compact,Sedan,2000,FALSE
Mercedes-Benz,190-Class,1991,MANUAL,Compact,Sedan,2000,FALSE
Mercedes-Benz,190-Class,1992,MANUAL,Compact,Sedan,2000,FALSE
Mercedes-Benz,190-Class,1992,MANUAL,Compact,Sedan,2000,FALSE
Mercedes-Benz,190-Class,1993,MANUAL,Compact,Sedan,2000,FALSE
Mercedes-Benz,190-Class,1993,MANUAL,Compact,Sedan,2000,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Coupe,32850,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Convertible,38650,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Convertible,48750,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Coupe,34850,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Convertible,40650,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Coupe,44150,FALSE
BMW,2 Series,2016,MANUAL,Compact,Coupe,32850,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Coupe,46150,FALSE
BMW,2 Series,2016,AUTOMATIC,Compact,Convertible,50750,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Coupe,46450,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Convertible,49050,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Convertible,51050,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Coupe,44450,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Convertible,38950,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Coupe,33150,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Coupe,35150,FALSE
BMW,2 Series,2017,AUTOMATIC,Compact,Convertible,40950,FALSE
Audi,200,1990,AUTOMATIC,Midsize,Sedan,2000,FALSE
Audi,200,1990,MANUAL,Midsize,Wagon,2000,FALSE
Audi,200,1990,MANUAL,Midsize,Sedan,2000,FALSE
Audi,200,1991,MANUAL,Midsize,Sedan,2000,FALSE
Audi,200,1991,MANUAL,Midsize,Wagon,2000,FALSE
Audi,200,1991,AUTOMATIC,Midsize,Sedan,2000,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,25170,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,23950,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,29370,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,21995,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,26625,FALSE
Chrysler,200,2015,AUTOMATIC,Midsize,Sedan,30825,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,21995,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,27795,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,31785,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,29905,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,22490,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,27570,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,25690,FALSE
Chrysler,200,2016,AUTOMATIC,Midsize,Sedan,24490,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,29905,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,31785,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,26685,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,22490,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,25690,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,30900,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,27795,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,21995,FALSE
Chrysler,200,2017,AUTOMATIC,Midsize,Sedan,24490,FALSE
Nissan,200SX,1996,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1996,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1996,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1997,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1997,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1997,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1998,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1998,MANUAL,Compact,Coupe,2000,FALSE
Nissan,200SX,1998,MANUAL,Compact,Coupe,2073,FALSE
Nissan,240SX,1996,MANUAL,Compact,Coupe,3713,FALSE
Nissan,240SX,1996,MANUAL,Compact,Coupe,3520,FALSE
Nissan,240SX,1997,MANUAL,Compact,Coupe,3910,FALSE
Nissan,240SX,1997,MANUAL,Compact,Coupe,4182,FALSE
Nissan,240SX,1997,MANUAL,Compact,Coupe,4107,FALSE
Nissan,240SX,1998,MANUAL,Compact,Coupe,4299,FALSE
Nissan,240SX,1998,MANUAL,Compact,Coupe,4693,FALSE
Nissan,240SX,1998,MANUAL,Compact,Coupe,4107,FALSE
Volvo,240,1991,MANUAL,Midsize,Wagon,2000,FALSE
Volvo,240,1991,AUTOMATIC,Midsize,Wagon,2000,FALSE
Volvo,240,1991,MANUAL,Midsize,Sedan,2000,FALSE
Volvo,240,1992,MANUAL,Midsize,Sedan,2000,FALSE
Volvo,240,1992,MANUAL,Midsize,Wagon,2000,FALSE
Volvo,240,1992,MANUAL,Midsize,Sedan,2000,FALSE
Volvo,240,1993,MANUAL,Midsize,Sedan,2000,FALSE
Volvo,240,1993,MANUAL,Midsize,Wagon,2000,FALSE
Mazda,2,2012,MANUAL,Compact,4dr Hatchback,16020,FALSE
Mazda,2,2012,MANUAL,Compact,4dr Hatchback,14530,FALSE
Mazda,2,2012,AUTOMATIC,Compact,4dr Hatchback,16860,FALSE
Mazda,2,2012,AUTOMATIC,Compact,4dr Hatchback,15370,FALSE
Mazda,2,2013,AUTOMATIC,Compact,4dr Hatchback,17050,FALSE
Mazda,2,2013,AUTOMATIC,Compact,4dr Hatchback,15560,FALSE
Mazda,2,2013,MANUAL,Compact,4dr Hatchback,16210,FALSE
Mazda,2,2013,MANUAL,Compact,4dr Hatchback,14720,FALSE
Mazda,2,2014,AUTOMATIC,Compact,4dr Hatchback,17050,FALSE
Mazda,2,2014,AUTOMATIC,Compact,4dr Hatchback,15560,FALSE
Mazda,2,2014,MANUAL,Compact,4dr Hatchback,16210,FALSE
Mazda,2,2014,MANUAL,Compact,4dr Hatchback,14720,FALSE
BMW,3 Series Gran Turismo,2015,AUTOMATIC,Midsize,4dr Hatchback,47250,FALSE
BMW,3 Series Gran Turismo,2015,AUTOMATIC,Midsize,4dr Hatchback,41850,FALSE
BMW,3 Series Gran Turismo,2015,AUTOMATIC,Midsize,4dr Hatchback,41850,FALSE
BMW,3 Series Gran Turismo,2016,AUTOMATIC,Midsize,4dr Hatchback,43000,FALSE
BMW,3 Series Gran Turismo,2016,AUTOMATIC,Midsize,4dr Hatchback,49200,FALSE
BMW,3 Series Gran Turismo,2017,AUTOMATIC,Midsize,4dr Hatchback,49650,FALSE
BMW,3 Series Gran Turismo,2017,AUTOMATIC,Midsize,4dr Hatchback,43950,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Wagon,41950,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,50150,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,37500,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,43750,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,39000,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,39500,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,39500,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,34950,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,45750,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Wagon,43450,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,37500,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,41000,FALSE
BMW,3 Series,2015,AUTOMATIC,Midsize,Sedan,32950,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,41850,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,47800,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,39850,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,38350,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,40350,FALSE
BMW,3 Series,2016,MANUAL,Midsize,Sedan,38350,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Wagon,42650,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,33150,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,35150,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Wagon,44150,FALSE
BMW,3 Series,2016,AUTOMATIC,Midsize,Sedan,45800,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,38750,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,35450,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,33450,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,40750,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,42250,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Wagon,42950,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,40250,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,49900,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Sedan,47900,FALSE
BMW,3 Series,2017,AUTOMATIC,Midsize,Wagon,44450,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Large,Sedan,2232,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Wagon,2000,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Sedan,2105,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Wagon,2199,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Large,Sedan,2124,FALSE
Mercedes-Benz,300-Class,1991,MANUAL,Compact,Convertible,3552,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Coupe,2179,FALSE
Mercedes-Benz,300-Class,1991,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Large,Sedan,2377,FALSE
Mercedes-Benz,300-Class,1992,MANUAL,Compact,Convertible,3814,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Sedan,2207,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Wagon,2000,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Coupe,2248,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Sedan,2065,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Large,Sedan,2547,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Wagon,2282,FALSE
Mercedes-Benz,300-Class,1992,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Wagon,2544,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Coupe,2397,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Sedan,2000,FALSE
Mercedes-Benz,300-Class,1993,MANUAL,Compact,Convertible,4174,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Sedan,2187,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Large,Sedan,2729,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Sedan,2433,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Midsize,Sedan,2247,FALSE
Mercedes-Benz,300-Class,1993,AUTOMATIC,Large,Sedan,2540,FALSE
Mitsubishi,3000GT,1997,MANUAL,Compact,2dr Hatchback,3941,FALSE
Mitsubishi,3000GT,1997,MANUAL,Compact,2dr Hatchback,3295,FALSE
Mitsubishi,3000GT,1997,MANUAL,Compact,2dr Hatchback,6008,FALSE
Mitsubishi,3000GT,1998,MANUAL,Compact,2dr Hatchback,6710,FALSE
Mitsubishi,3000GT,1998,MANUAL,Compact,2dr Hatchback,3701,FALSE
Mitsubishi,3000GT,1998,MANUAL,Compact,2dr Hatchback,4671,FALSE
Mitsubishi,3000GT,1999,MANUAL,Compact,2dr Hatchback,5306,FALSE
Mitsubishi,3000GT,1999,MANUAL,Compact,2dr Hatchback,7600,FALSE
Mitsubishi,3000GT,1999,MANUAL,Compact,2dr Hatchback,4090,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,37570,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,31695,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,38070,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,44895,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,35070,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,42395,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,34195,FALSE
Chrysler,300,2015,AUTOMATIC,Large,Sedan,40570,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,38095,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,35595,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,45190,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,32260,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,37755,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,41055,FALSE
Chrysler,300,2016,AUTOMATIC,Large,Sedan,36090,FALSE
